               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084674,            0.069797,            0.070321,             0.53903,            0.097291,            0.050562,            0.020033,            0.065211,            0.057184,            0.060294,            0.070333,           0.0032963,           0.0032963
                   1,            0.067151,            0.058159,             0.05463,             0.75539,             0.10178,            0.085051,            0.037024,            0.067017,            0.051395,            0.049335,             0.04032,           0.0066165,           0.0066165
                   2,            0.064197,            0.054885,             0.04462,             0.73302,             0.15395,            0.095891,            0.044406,            0.062115,            0.051814,            0.042303,            0.010294,           0.0099235,           0.0099235
                   3,            0.056904,            0.055194,            0.039225,             0.80681,             0.14731,             0.15987,            0.077992,            0.052193,             0.05434,            0.040259,           0.0099406,           0.0099406,           0.0099406
                   4,            0.052714,            0.054826,             0.03556,             0.83206,             0.16846,              0.1908,            0.097351,            0.048155,            0.051978,            0.036449,           0.0099406,           0.0099406,           0.0099406
                   5,            0.048884,            0.053425,            0.033162,             0.89187,             0.17036,             0.20315,              0.1005,            0.049239,            0.051374,            0.033958,           0.0099208,           0.0099208,           0.0099208
                   6,            0.046553,            0.053931,             0.03189,             0.87109,             0.19035,             0.22256,             0.11975,            0.046548,            0.051013,            0.032434,            0.009901,            0.009901,            0.009901
                   7,            0.045357,            0.051146,            0.030316,             0.87137,             0.20298,             0.24682,             0.13382,            0.045593,            0.051706,            0.031475,           0.0098812,           0.0098812,           0.0098812
                   8,            0.044551,            0.051197,            0.028873,             0.87664,             0.21156,             0.25641,             0.14459,            0.044364,            0.050042,            0.030206,           0.0098614,           0.0098614,           0.0098614
                   9,            0.043632,            0.051407,            0.027816,             0.70962,             0.26244,             0.26294,              0.1481,            0.043939,            0.051286,            0.029612,           0.0098416,           0.0098416,           0.0098416
                  10,            0.043118,            0.051794,            0.026964,             0.69722,             0.26169,             0.26959,             0.15044,            0.043181,            0.051693,            0.028824,           0.0098218,           0.0098218,           0.0098218
                  11,            0.042107,            0.049888,             0.02567,             0.69485,             0.27577,             0.27173,             0.15483,            0.042959,            0.051394,            0.028782,            0.009802,            0.009802,            0.009802
                  12,            0.041237,            0.048482,             0.02539,             0.67827,             0.28745,             0.28196,             0.16852,             0.04179,            0.050099,            0.028886,           0.0097822,           0.0097822,           0.0097822
                  13,            0.040836,            0.048475,            0.024762,             0.70402,             0.28741,             0.29038,             0.17279,            0.042041,            0.050783,            0.027823,           0.0097624,           0.0097624,           0.0097624
                  14,            0.041061,             0.04938,             0.02373,             0.68761,             0.29065,             0.29342,              0.1714,            0.041373,            0.049766,            0.027711,           0.0097426,           0.0097426,           0.0097426
                  15,            0.040202,             0.04863,             0.02371,             0.69387,             0.27832,             0.28369,             0.16468,            0.043385,            0.051975,            0.029145,           0.0097228,           0.0097228,           0.0097228
                  16,             0.04025,             0.04979,            0.022791,             0.70865,             0.29187,             0.30196,             0.17693,            0.041679,            0.051287,            0.027484,            0.009703,            0.009703,            0.009703
                  17,            0.040058,            0.048248,            0.022453,             0.70659,             0.29417,             0.32579,             0.20313,             0.04077,            0.050512,            0.027641,           0.0096832,           0.0096832,           0.0096832
                  18,             0.03913,            0.047874,            0.021681,             0.71863,             0.29364,             0.32399,             0.19782,            0.041377,            0.050228,            0.027275,           0.0096634,           0.0096634,           0.0096634
                  19,            0.039035,            0.046662,            0.021487,             0.72152,             0.31184,             0.36462,             0.21987,            0.041143,            0.049863,            0.026006,           0.0096436,           0.0096436,           0.0096436
